Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,IF_Anomaly,IF_Anomaly_Score,DBSCAN_Cluster
2020-02-14 12:32:11,144.35.251.141,10.198.80.86,6412,62809,UDP,91,Data,DNS,"Eius maiores eligendi sed. Accusantium aliquid ex sunt. Distinctio earum aut dolorem.
Corporis dignissimos animi soluta voluptate harum. Aliquid modi fuga magni est magni corrupti.",,1.99,,Malware,Known Pattern A,Ignored,Medium,Ritvik Kaur,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/9196-01-08 01:14:54 Firefox/12.0,Segment C,"Jabalpur, Punjab",,Log Data,,Server,-1,0.6312371190113961,-1
2023-03-06 08:16:00,146.86.37.75,87.154.89.187,61711,64927,ICMP,210,Control,DNS,Repellendus illum illum alias. Voluptate tempore laborum delectus aut rem tempore. Architecto neque placeat molestiae sint sint sapiente debitis.,,0.93,,DDoS,Known Pattern A,Logged,Medium,Ira Sahni,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/3.1),Segment A,"Madanapalle, Nagaland",,Log Data,,Firewall,-1,0.627619797541113,-1
2021-09-01 12:32:09,148.17.174.221,79.63.210.31,59564,62542,ICMP,1473,Control,DNS,Porro rem maxime fugit sint consequuntur ea. Ad deserunt velit voluptas. Iste voluptates expedita.,IoC Detected,1.78,,Intrusion,Known Pattern B,Logged,Medium,Hunar Kota,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/5.1),Segment C,"Tinsukia, Tamil Nadu",201.88.121.155,,,Server,-1,0.6266438650896038,-1
2021-09-03 11:15:05,5.214.202.29,1.172.215.189,2247,2416,ICMP,184,Data,DNS,"Nostrum quis optio facere fugit odit sit dolore. Unde aperiam consequatur quaerat sapiente.
Excepturi magnam eligendi qui consequuntur placeat placeat.",,3.79,Alert Triggered,Malware,Known Pattern A,Blocked,High,Elakshi Varkey,Opera/9.57.(X11; Linux i686; my-MM) Presto/2.9.172 Version/12.00,Segment A,"Thiruvananthapuram, Karnataka",144.44.182.137,Log Data,,Firewall,-1,0.6259272102856572,-1
2023-06-17 18:14:44,63.238.166.56,175.146.6.65,61576,61578,ICMP,1413,Data,DNS,Alias quod excepturi voluptates temporibus aspernatur quae. Ducimus ea dolores similique saepe ratione necessitatibus.,,97.75,Alert Triggered,Intrusion,Known Pattern A,Ignored,Medium,Tarini Yohannan,Mozilla/5.0 (Windows NT 5.01; cmn-TW; rv:1.9.2.20) Gecko/9745-08-16 00:34:41 Firefox/3.6.4,Segment A,"Rampur, Sikkim",171.111.220.104,,Alert Data,Server,-1,0.625568593886943,-1
2021-03-17 12:30:15,30.200.154.9,134.243.107.210,63798,62605,UDP,82,Control,HTTP,"Similique officiis eius adipisci beatae molestias.
Quo laudantium exercitationem iure rerum. Aliquid dolores maxime nihil quam. Doloremque molestias quod tempore in est.",IoC Detected,12.96,,Malware,Known Pattern A,Logged,High,Ehsaan Lall,"Mozilla/5.0 (Linux; Android 5.0.1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/53.0.809.0 Safari/531.0",Segment A,"Muzaffarpur, Uttarakhand",,Log Data,,Firewall,-1,0.624843056613224,-1
2023-06-30 05:24:25,95.29.8.230,83.91.245.211,4353,50259,UDP,85,Data,HTTP,Ipsa ex ullam hic reiciendis. Quam porro atque repellendus totam cupiditate.,,3.15,,DDoS,Known Pattern A,Blocked,Medium,Pihu Tata,Mozilla/5.0 (Windows CE; cmn-TW; rv:1.9.1.20) Gecko/7112-07-19 21:11:40 Firefox/3.8,Segment A,"Dharmavaram, Tamil Nadu",19.11.20.144,,Alert Data,Firewall,-1,0.6246991272333424,-1
2020-09-02 20:52:07,39.254.180.181,112.57.64.183,2453,1241,TCP,220,Data,HTTP,Rerum nobis sed optio est. Laborum nihil ex officiis dolore quod animi repellat.,IoC Detected,1.76,,DDoS,Known Pattern B,Logged,Medium,Vritika Dey,Mozilla/5.0 (Android 4.4.4; Mobile; rv:18.0) Gecko/18.0 Firefox/18.0,Segment C,"Kulti, Himachal Pradesh",,,,Server,-1,0.62199151271755,-1
2021-05-08 04:56:17,16.65.249.237,24.79.26.247,57819,10509,ICMP,107,Data,HTTP,Repellendus tempora rerum sed numquam vel accusantium. Sunt tempore ut ipsa vero sequi perspiciatis.,,1.33,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Ishita Tella,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/5.0),Segment A,"Nashik, Assam",131.208.67.33,Log Data,,Firewall,-1,0.6215852507587784,-1
2023-06-30 11:22:05,205.0.197.181,141.91.193.179,5869,32146,ICMP,67,Control,DNS,"Corporis sunt pariatur optio. Quia excepturi veniam veniam beatae. Eos enim temporibus in.
Recusandae nisi magni fuga perspiciatis. Debitis voluptate repudiandae earum mollitia.",,0.91,,Intrusion,Known Pattern B,Ignored,High,Yuvraj  Tara,Opera/8.94.(Windows NT 10.0; bho-IN) Presto/2.9.166 Version/10.00,Segment B,"Bareilly, Kerala",,Log Data,Alert Data,Firewall,-1,0.621519662458255,-1
2022-11-01 08:23:24,81.144.126.34,71.149.41.56,3407,61511,ICMP,88,Control,HTTP,Aliquid reprehenderit totam voluptatum possimus beatae. Quas eos natus et iure cupiditate tempora.,,7.54,,Intrusion,Known Pattern A,Logged,High,Ivan Grewal,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.1.7 (KHTML, like Gecko) Version/5.1 Safari/531.1.7",Segment B,"Jhansi, Punjab",95.113.161.135,,Alert Data,Server,-1,0.6198701604077073,-1
2021-12-28 21:52:46,99.209.206.114,115.195.25.105,5958,2374,UDP,77,Control,HTTP,"Similique fugiat facilis veniam. Eius hic dolor assumenda repellat tempora tenetur.
Nemo quas cupiditate. Eveniet nesciunt eaque soluta. Eaque velit impedit sapiente similique ullam culpa.",,92.4,Alert Triggered,Intrusion,Known Pattern A,Ignored,High,Damini Madan,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/532.21.7 (KHTML, like Gecko) Version/4.0 Safari/532.21.7",Segment A,"Lucknow, West Bengal",,,,Firewall,-1,0.6197091224681183,-1
2022-07-13 23:43:22,27.9.172.21,7.6.248.54,7890,3498,ICMP,1437,Data,DNS,"Consectetur harum alias quod animi. Nemo dolore pariatur fugit.
Porro distinctio facilis. Quidem aliquid nulla earum tempora distinctio ratione iusto.",,0.58,,Malware,Known Pattern A,Ignored,High,Mannat Halder,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/44.0.897.0 Safari/535.2",Segment C,"Kottayam, Karnataka",,Log Data,Alert Data,Firewall,-1,0.6193720938548338,-1
2021-01-27 17:44:48,101.66.193.186,145.119.5.94,46477,61157,ICMP,114,Control,HTTP,"Eos non nulla omnis exercitationem. Suscipit sint sed error at. Dignissimos enim quos nam tenetur.
Molestias exercitationem perferendis. Totam harum ducimus veritatis. Quasi aperiam provident.",IoC Detected,1.05,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Gatik Sandhu,Opera/9.19.(Windows 98; gd-GB) Presto/2.9.163 Version/12.00,Segment C,"Tiruppur, Odisha",173.31.50.12,,,Firewall,-1,0.6190258454227435,-1
2023-07-20 11:10:04,183.213.133.217,209.151.162.157,1407,48333,ICMP,137,Data,DNS,"Cum est recusandae totam porro praesentium soluta. Quas consequatur vitae maxime.
Fugit molestiae aliquam natus. Blanditiis eum atque tenetur optio. Tempora commodi expedita explicabo.",,99.07,,DDoS,Known Pattern A,Logged,High,Mannat Shroff,Opera/9.16.(Windows NT 5.1; ps-AF) Presto/2.9.160 Version/11.00,Segment A,"Bhagalpur, Jharkhand",,,Alert Data,Server,-1,0.6187791819790855,-1
2020-02-22 13:13:12,34.100.56.182,17.214.75.99,4223,53885,ICMP,117,Control,DNS,Accusantium sequi laudantium ab similique. Distinctio dignissimos quae aperiam maxime et minima. Voluptates unde iste saepe aspernatur tenetur.,IoC Detected,2.72,,Intrusion,Known Pattern A,Ignored,High,Madhup Sengupta,Opera/8.52.(X11; Linux x86_64; as-IN) Presto/2.9.173 Version/11.00,Segment B,"Munger, Jharkhand",171.170.193.214,Log Data,,Server,-1,0.6184871815906163,-1
